zone_id,order,corner_id
0,0,1
0,1,3
0,2,2
0,3,0
1,0,4
1,1,5
1,2,3
1,3,1
2,0,5
2,1,6
2,2,7
2,3,3
3,0,8
3,1,9
3,2,7
3,3,6
4,0,7
4,1,9
4,2,2
4,3,3
