set_id,order,corner_id
0,0,2
0,1,0
0,2,1
0,3,3
1,0,3
1,1,1
1,2,5
1,3,4
2,0,4
2,1,5
2,2,7
2,3,6
3,0,6
3,1,7
3,2,9
3,3,8
4,0,8
4,1,9
4,2,11
4,3,10
5,0,5
5,1,1
5,2,9
5,3,7
6,0,6
6,1,8
6,2,10
6,3,12
