set_id,order,corner_id
0,0,1
0,1,3
0,2,2
0,3,0
1,0,4
1,1,5
1,2,3
1,3,1
2,0,5
2,1,6
2,2,7
2,3,3
3,0,3
3,1,7
3,2,8
3,3,2
4,0,0
4,1,2
4,2,10
4,3,9
5,0,8
5,1,11
5,2,10
5,3,2
