set_id,order,corner_id
0,0,1
0,1,3
0,2,2
0,3,0
1,0,2
1,1,3
1,2,5
1,3,4
2,0,4
2,1,5
2,2,7
2,3,6
3,0,6
3,1,7
3,2,9
3,3,8
4,0,10
4,1,8
4,2,9
4,3,11
