corner_id,x,y
0,38.28571428571428,117.14285714285708
1,53.14285714285717,65.71428571428564
2,134.17786970010332,145.1209927611168
3,165.14285714285717,103.42857142857142
4,245.86349534643216,202.20475698035156
5,290.85714285714295,152.57142857142853
6,337.69389865563596,290.72595656670114
7,403.8779731127197,284.10754912099276
8,279.7828335056877,401.5842812823165
9,279.7828335056877,499.2057911065151
10,253.30920372285414,399.92967942088944
11,191.261633919338,433.02171664943126
12,185.47052740434322,281.6256463288521
13,162.30610134436392,322.163391933816
14,122.59565667011361,246.87900723888313
15,128.38676318510852,308.09927611168564
